bid_id,user_id,group_order_id,price_per_unit,available_quantity,delivery_time,is_accepted
1,746,180,12.26,84.77,23:06:39,True
2,426,16,14.68,129.08,03:06:39,True
3,229,372,12.35,120.87,04:06:39,False
4,854,210,8.05,112.71,20:06:39,False
5,525,446,12.0,129.87,21:06:39,True
6,475,383,9.23,113.41,04:06:39,False
7,994,232,11.11,89.7,03:06:39,True
8,992,341,10.73,111.77,04:06:39,True
9,81,398,9.96,145.51,04:06:39,False
10,985,126,13.23,64.99,23:06:39,False
11,168,149,14.48,97.78,02:06:39,True
12,581,268,11.8,164.06,03:06:39,True
13,674,275,14.91,71.43,03:06:39,False
14,259,203,9.58,136.99,04:06:39,False
15,158,282,10.3,179.64,06:06:39,True
16,415,48,8.46,122.2,23:06:39,False
17,994,171,12.7,132.42,21:06:39,False
18,361,138,12.33,169.38,06:06:39,True
19,504,182,9.3,170.11,22:06:39,True
20,22,178,8.78,175.9,20:06:39,True
21,643,228,9.15,81.39,02:06:39,True
22,548,334,8.07,135.32,21:06:39,True
23,582,456,13.29,131.46,00:06:39,True
24,293,419,14.63,53.8,19:06:39,False
25,342,26,12.52,174.44,01:06:39,True
26,449,87,9.27,148.67,02:06:39,False
27,292,302,10.15,56.14,05:06:39,False
28,993,134,9.9,92.43,02:06:39,False
29,704,62,12.25,92.51,23:06:39,False
30,197,306,12.43,125.09,21:06:39,False
31,461,54,12.12,103.86,01:06:39,True
32,729,113,14.45,118.75,23:06:39,False
33,789,175,11.76,70.83,04:06:39,True
34,293,205,10.82,171.32,06:06:39,True
35,457,164,9.11,136.56,03:06:39,True
36,803,477,12.02,142.29,21:06:39,True
37,794,143,12.99,117.28,03:06:39,False
38,268,170,9.81,130.51,00:06:39,True
39,322,224,8.88,182.42,19:06:39,True
40,914,328,14.44,77.64,00:06:39,True
41,781,138,13.28,137.8,20:06:39,False
42,255,192,8.87,126.28,21:06:39,True
43,721,14,8.69,85.42,19:06:39,False
44,286,165,9.16,143.76,19:06:39,False
45,240,146,10.93,160.97,23:06:39,False
